news_id|title
65f93a06d34f691bf5376ba9|33년 뜨거웠던 추억···학전 불 밝힌 ‘마지막 밤’
65f93a06d34f691bf5376baa|이름은 몰라도 된다…초보 식집사에게 중요한 건 관찰하기[그림책]
65f93a06d34f691bf5376bab|“비건, 모두가 외면하고 싶은 금기”[금요일의 문장]
65f93a06d34f691bf5376bac|로봇수술 상용화되나
65f93a06d34f691bf5376bad|현대모비스 “공기저항 감소” 프론트 페이스 통합 모듈 개발
65f93a06d34f691bf5376bae|2025년형 ‘트랙스 크로스오버’ 공개하고 본격 판매 나선 GM
65f93a06d34f691bf5376baf|스포츠 중계에 나서는 OTT…핵심은 ‘광고요금제’
65f93a06d34f691bf5376bb0|홍콩ELS 투자자들, 소송 들어가도 ‘불안’
65f93a06d34f691bf5376bb1|SK에코 자회사, 미국에 초대형 ‘IT 기기 재처리’ 공장
65f93a06d34f691bf5376bb2|지식산업센터 ‘투자 열기’ 확 식었네
65f93a06d34f691bf5376bb3|은행들 이자로 작년 59조 벌어…당기순이익 21조원 ‘역대 최대’
65f93a06d34f691bf5376bb4|기금 운용 ‘더욱 공격적으로’…국민연금, 고갈 지연 안간힘
65f93a06d34f691bf5376bb5|빠른 배송·짝퉁 환불…투자 상자 여는 ‘알리’
65f93a06d34f691bf5376bb6|연구원들 근무 ‘길어야 10년’…이륙부터 불안한 우주항공청
65f93a06d34f691bf5376bb7|수도권 광역버스 좌석예약제 확대
65f93a06d34f691bf5376bb8|국내 최대 주식부자 집단 ‘서울 강남에 사는 50대 남성’
65f93a06d34f691bf5376bb9|‘푸틴 5선’ 정해진 러 대선 시작
65f93a06d34f691bf5376bba|총선 이기고도 연정 구성 난항…네덜란드 극우당 대표 “총리직 도전 포기”
65f93a06d34f691bf5376bbb|유럽의회, 세계 첫 ‘포괄적 AI 규제법’ 통과
65f93a06d34f691bf5376bbc|[속보]러 외무부, “한국인 구금자에게 영사 접견 검토”
65f93a06d34f691bf5376bbd|“2020년 ‘검사 접대’ 옥중서신은 민주당 정치공작”···또 말 바꾼 김봉현
65f93a06d34f691bf5376bbe|‘친명’에 밀려 ‘친문’ 핵심 전해철도 탈락…정동영·박지원 ‘올드보이’ 귀환
65f93a06d34f691bf5376bbf|국민의힘도 ‘막말 리스크’…장예찬 ‘난교 발언’·도태우 ‘5·18 망언’ 이어“조선보다 일제강점기가 더 좋았을 수도”
65f93a06d34f691bf5376bc0|IAEA 사무총장, 후쿠시마 오염수 첫 시찰 뒤 “수치 낮아”
65f93a06d34f691bf5376bc1|아산 그라운드에 드리운 ‘정치색’
65f93a06d34f691bf5376bc2|기후위기 대응 지적 시의적절…총선 공천 문제에 정책 이슈는 가려져
65f93a06d34f691bf5376bc3|8년 만에 신작 낸 김제동 “말로 웃기는 사람인데…말이 장벽이 돼 속상하죠”
65f93a06d34f691bf5376bc4|김밥 팔아 평생 모은 재산 기부한 박춘자 할머니, 유언도 “월세 보증금 기부”
65f93a06d34f691bf5376bc5|외신들 앞다퉈 ‘콜’ 국내 대기업도 광고 모델 ‘콜’…BTS 부럽지 않은 ‘칠곡할매래퍼’
65f93a06d34f691bf5376bc6|민주당 '친문핵심' 전해철 탈락···'올드보이' 정동영·박지원 공천
65f93a06d34f691bf5376bc7|CJ제일제당, 네이버에서 첫 ‘제세페’
65f93a06d34f691bf5376bc8|배민 “외식업주·라이더와 동행”…2000억원 상생 투자 약속
65f93a06d34f691bf5376bc9|알리·테무 ‘짝퉁’ 피해 확산…공정위, 칼 뺐는데 날이 없다?
65f93a06d34f691bf5376bca|정부만 빼고…모두가 불편한 새 ‘단통법’
65f93a06d34f691bf5376bcb|KB서도 100억대 사고…갈 길 먼 은행권 내부통제
65f93a06d34f691bf5376bcc|금감원장 ‘ELS 사태’ 고개 숙여…“TF 꾸려 올해 안에 가시적 성과”
65f93a06d34f691bf5376bcd|해외여행객 ‘모바일 더치페이’ 가능해진다
65f93a06d34f691bf5376bce|‘스드메’ 거품 빠질까…웨딩서비스 가격표시제 도입
65f93a06d34f691bf5376bcf|3기 신도시 교통, 철도 연계형 등 ‘환승 중심’으로
65f93a06d34f691bf5376bd0|여당, “국민 눈높이” 맞는다며 ‘5·18 북 개입설’ 도태우 공천 유지
65f93a06d34f691bf5376bd1|비명 송갑석, 결국 탈락…광주 경선 ‘친명’ 싹쓸이
65f93a06d34f691bf5376bd2|국민의힘, ‘5·18 북한 개입설’ 도태우 공천 유지···“국민 눈높이에 맞는 결정”
65f93a06d34f691bf5376bd3|[속보] 미국 소비자물가지수 3.2% 상승…예상치 소폭 상회
65f93a06d34f691bf5376bd4|황금팔의 사나이, 그는 곧 신이 될까
65f93a06d34f691bf5376bd5|아산 ‘새마을금고 강도’ 검거 공로자 1계급 특진
65f93a06d34f691bf5376bd6|“왁자지껄하던 문방구·구멍가게처럼 이젠 없어서는 안 될 동네 사랑방이죠”
65f93a06d34f691bf5376bd7|‘푸틴 체포영장’ 발부했던 재판관 아카네 도모코, 일본인 최초 ‘국제형사재판소’ 소장에
65f93a06d34f691bf5376bd8|증여세 절감, 차용증만으로는 안 돼[권태우의 세무Talk]
65f93a06d34f691bf5376bd9|가성비 앞세운 중국 전기차, 세계로 ‘쭉쭉’
65f93a06d34f691bf5376bda|정용진 회장 “CEO도 실적 부진하면 바로 교체”
65f93a06d34f691bf5376bdb|LG전자, ‘AI 서비스로봇’ 미국 스타트업 기업 ‘대주주’로 지분 투자
65f93a06d34f691bf5376bdc|KGM,‘ 미래 모빌리티’ 발굴할 인재 수혈
65f93a06d34f691bf5376bdd|카카오모빌리티, 류긍선 대표 연임 추진
65f93a06d34f691bf5376bde|‘신용사면’ 서민들 좋지만…카드사 ‘속앓이’
